date,y_items
2023-03-01,2
2023-03-01,3
2023-03-01,4
2023-03-01,5
2023-03-01,6
2023-03-01,7
2023-03-01,8
2023-03-01,9
2023-03-01,10
2023-03-01,11
2023-03-01,12
2023-03-01,13
2023-03-01,14
2023-03-01,16
2023-03-01,17
2023-03-01,18
2023-03-01,19
2023-03-01,20
2023-03-01,21
2023-03-01,23
2023-03-01,24
2023-03-01,29
2023-03-01,57
2023-03-01,79
2023-04-01,1
2023-04-01,2
2023-04-01,3
2023-04-01,4
2023-04-01,5
2023-04-01,6
2023-04-01,7
2023-04-01,8
2023-04-01,9
2023-04-01,10
2023-04-01,11
2023-04-01,12
2023-04-01,13
2023-04-01,14
2023-04-01,15
2023-04-01,17
2023-04-01,18
2023-04-01,19
2023-04-01,20
2023-04-01,29
2023-04-01,44
2023-04-01,53
2023-04-01,54
2023-05-01,1
2023-05-01,2
2023-05-01,3
2023-05-01,4
2023-05-01,5
2023-05-01,6
2023-05-01,7
2023-05-01,8
2023-05-01,9
2023-05-01,10
2023-05-01,12
2023-05-01,13
2023-05-01,15
2023-05-01,16
2023-05-01,17
2023-05-01,19
2023-05-01,20
2023-05-01,21
2023-05-01,25
2023-05-01,31
2023-05-01,40
2023-05-01,54
2023-05-01,61
2023-05-01,78
2023-06-01,1
2023-06-01,2
2023-06-01,3
2023-06-01,4
2023-06-01,5
2023-06-01,6
2023-06-01,7
2023-06-01,8
2023-06-01,9
2023-06-01,10
2023-06-01,11
2023-06-01,12
2023-06-01,14
2023-06-01,15
2023-06-01,16
2023-06-01,17
2023-06-01,18
2023-06-01,19
2023-06-01,20
2023-06-01,23
2023-06-01,24
2023-06-01,26
2023-06-01,27
2023-06-01,28
2023-06-01,29
2023-06-01,33
2023-06-01,39
2023-06-01,60
2023-06-01,61
2023-06-01,117
2023-07-01,1
2023-07-01,2
2023-07-01,3
2023-07-01,4
2023-07-01,5
2023-07-01,6
2023-07-01,7
2023-07-01,8
2023-07-01,9
2023-07-01,10
2023-07-01,11
2023-07-01,12
2023-07-01,13
2023-07-01,14
2023-07-01,15
2023-07-01,17
2023-07-01,18
2023-07-01,20
2023-07-01,25
2023-07-01,26
2023-07-01,28
2023-07-01,30
2023-07-01,34
2023-07-01,35
2023-07-01,36
2023-07-01,37
2023-07-01,46
2023-07-01,52
2023-07-01,61
2023-07-01,78
2023-08-01,1
2023-08-01,2
2023-08-01,3
2023-08-01,4
2023-08-01,5
2023-08-01,6
2023-08-01,8
2023-08-01,9
2023-08-01,10
2023-08-01,11
2023-08-01,12
2023-08-01,13
2023-08-01,15
2023-08-01,16
2023-08-01,17
2023-08-01,18
2023-08-01,19
2023-08-01,20
2023-08-01,21
2023-08-01,22
2023-08-01,23
2023-08-01,24
2023-08-01,31
2023-08-01,37
2023-08-01,38
2023-08-01,39
2023-08-01,47
2023-08-01,59
2023-08-01,77
2023-08-01,78
2023-09-01,1
2023-09-01,2
2023-09-01,3
2023-09-01,4
2023-09-01,5
2023-09-01,6
2023-09-01,7
2023-09-01,8
2023-09-01,9
2023-09-01,10
2023-09-01,11
2023-09-01,12
2023-09-01,13
2023-09-01,14
2023-09-01,15
2023-09-01,17
2023-09-01,18
2023-09-01,19
2023-09-01,20
2023-09-01,21
2023-09-01,23
2023-09-01,24
2023-09-01,30
2023-09-01,33
2023-09-01,38
2023-09-01,39
2023-09-01,40
2023-09-01,48
2023-09-01,66
2023-09-01,68
2023-09-01,72
2023-09-01,75
2023-09-01,88
2023-10-01,1
2023-10-01,2
2023-10-01,3
2023-10-01,4
2023-10-01,5
2023-10-01,6
2023-10-01,7
2023-10-01,8
2023-10-01,9
2023-10-01,10
2023-10-01,11
2023-10-01,12
2023-10-01,13
2023-10-01,14
2023-10-01,15
2023-10-01,16
2023-10-01,17
2023-10-01,18
2023-10-01,20
2023-10-01,21
2023-10-01,22
2023-10-01,24
2023-10-01,25
2023-10-01,26
2023-10-01,27
2023-10-01,28
2023-10-01,29
2023-10-01,32
2023-10-01,33
2023-10-01,34
2023-10-01,35
2023-10-01,39
2023-10-01,46
2023-10-01,47
2023-10-01,50
2023-10-01,53
2023-10-01,56
2023-10-01,61
2023-10-01,77
2023-10-01,89
2023-11-01,1
2023-11-01,2
2023-11-01,3
2023-11-01,4
2023-11-01,5
2023-11-01,6
2023-11-01,7
2023-11-01,8
2023-11-01,9
2023-11-01,10
2023-11-01,11
2023-11-01,12
2023-11-01,13
2023-11-01,14
2023-11-01,15
2023-11-01,16
2023-11-01,17
2023-11-01,18
2023-11-01,19
2023-11-01,21
2023-11-01,22
2023-11-01,23
2023-11-01,24
2023-11-01,25
2023-11-01,26
2023-11-01,28
2023-11-01,32
2023-11-01,34
2023-11-01,36
2023-11-01,37
2023-11-01,39
2023-11-01,41
2023-11-01,42
2023-11-01,48
2023-11-01,50
2023-11-01,55
2023-11-01,60
2023-11-01,62
2023-11-01,64
2023-11-01,78
2023-11-01,80
2023-11-01,89
2023-11-01,90
2023-12-01,1
2023-12-01,2
2023-12-01,3
2023-12-01,4
2023-12-01,5
2023-12-01,6
2023-12-01,7
2023-12-01,9
2023-12-01,10
2023-12-01,11
2023-12-01,12
2023-12-01,13
2023-12-01,14
2023-12-01,15
2023-12-01,16
2023-12-01,18
2023-12-01,21
2023-12-01,22
2023-12-01,25
2023-12-01,26
2023-12-01,27
2023-12-01,28
2023-12-01,30
2023-12-01,32
2023-12-01,33
2023-12-01,34
2023-12-01,35
2023-12-01,36
2023-12-01,38
2023-12-01,47
2023-12-01,53
2023-12-01,58
2023-12-01,69
2023-12-01,72
2023-12-01,73
2023-12-01,79
2023-12-01,83
2023-12-01,88
2023-12-01,93
2023-12-01,109
2023-12-01,146
2024-01-01,1
2024-01-01,2
2024-01-01,3
2024-01-01,4
2024-01-01,5
2024-01-01,6
2024-01-01,7
2024-01-01,8
2024-01-01,9
2024-01-01,10
2024-01-01,11
2024-01-01,12
2024-01-01,13
2024-01-01,14
2024-01-01,15
2024-01-01,16
2024-01-01,19
2024-01-01,20
2024-01-01,21
2024-01-01,22
2024-01-01,24
2024-01-01,26
2024-01-01,27
2024-01-01,28
2024-01-01,29
2024-01-01,30
2024-01-01,32
2024-01-01,35
2024-01-01,36
2024-01-01,37
2024-01-01,38
2024-01-01,51
2024-01-01,55
2024-01-01,59
2024-01-01,60
2024-01-01,64
2024-01-01,65
2024-01-01,70
2024-01-01,71
2024-01-01,76
2024-01-01,79
2024-01-01,80
2024-01-01,81
2024-01-01,87
2024-01-01,92
2024-01-01,109
2024-01-01,118
2-01,24,1237.7
2023-02-01,29,1598.67
2023-02-01,39,2010.86
2023-02-01,45,2320.33
2023-02-01,56,2887.61
2023-03-01,1,51.57
2023-03-01,1,51.56
2023-03-01,2,103.14
2023-03-01,2,257.8
2023-03-01,2,103.12
2023-03-01,3,154.68
2023-03-01,3,154.71
2023-03-01,3,154.67
2023-03-01,3,154.7
2023-03-01,4,206.26
2023-03-01,4,257.83
2023-03-01,4,206.28
2023-03-01,5,257.78
2023-03-01,5,257.79
2023-03-01,5,257.85
2023-03-01,6,309.42
2023-03-01,6,309.39
2023-03-01,6,309.41
2023-03-01,7,360.89
2023-03-01,7,360.97
2023-03-01,7,360.92
2023-03-01,8,464.03
2023-03-01,9,464.06
2023-03-01,9,464.09
2023-03-01,10,515.64
2023-03-01,10,515.63
2023-03-01,11,670.33
2023-03-01,12,618.75
2023-03-01,12,618.73
2023-03-01,13,721.89
2023-03-01,14,721.88
2023-03-01,16,825.01
2023-03-01,16,825.08
2023-03-01,17,876.62
2023-03-01,17,876.64
2023-03-01,17,876.6
2023-03-01,18,928.16
2023-03-01,18,928.06
2023-03-01,19,979.56
2023-03-01,20,1134.43
2023-03-01,21,1186.07
2023-03-01,23,1185.96
2023-03-01,24,1237.56
2023-03-01,29,1495.17
2023-03-01,57,3093.65
2023-03-01,79,4073.21
2023-04-01,1,47.08
2023-04-01,1,188.28
2023-04-01,1,47.07
2023-04-01,2,94.16
2023-04-01,2,94.14
2023-04-01,3,141.24
2023-04-01,4,188.32
2023-04-01,4,188.31
2023-04-01,4,188.29
2023-04-01,4,188.3
2023-04-01,5,235.4
2023-04-01,5,235.35
2023-04-01,5,376.53
2023-04-01,6,282.4
2023-04-01,6,329.52
2023-04-01,7,376.6
2023-04-01,7,329.51
2023-04-01,7,329.54
2023-04-01,7,329.55
2023-04-01,7,376.57
2023-04-01,8,376.64
2023-04-01,8,376.56
2023-04-01,8,376.6
2023-04-01,8,376.55
2023-04-01,8,376.57
2023-04-01,9,423.64
2023-04-01,9,423.65
2023-04-01,10,470.66
2023-04-01,10,470.79
2023-04-01,10,470.77
2023-04-01,10,470.75
2023-04-01,11,517.83
2023-04-01,12,564.93
2023-04-01,13,611.92
2023-04-01,13,612.02
2023-04-01,14,658.92
2023-04-01,15,706.19
2023-04-01,15,706.02
2023-04-01,15,706.15
2023-04-01,15,706.18
2023-04-01,17,847.34
2023-04-01,18,847.22
2023-04-01,19,894.43
2023-04-01,20,941.43
2023-04-01,29,1412.36
2023-04-01,44,2118.04
2023-04-01,53,2494.8
2023-04-01,54,2588.91
2023-05-01,1,47.1
2023-05-01,1,188.35
2023-05-01,2,94.2
2023-05-01,2,94.18
2023-05-01,2,94.19
2023-05-01,3,141.3
2023-05-01,3,141.28
2023-05-01,3,141.27
2023-05-01,4,188.37
2023-05-01,4,188.35
2023-05-01,4,188.39
2023-05-01,4,188.36
2023-05-01,5,282.56
2023-05-01,5,235.46
2023-05-01,5,235.5
2023-05-01,6,282.54
2023-05-01,7,329.64
2023-05-01,7,329.58
2023-05-01,8,376.69
2023-05-01,8,376.73
2023-05-01,8,376.76
2023-05-01,9,423.87
2023-05-01,9,423.82
2023-05-01,10,470.85
2023-05-01,10,470.84
2023-05-01,12,565.14
2023-05-01,12,565.07
2023-05-01,12,565.17
2023-05-01,12,565.09
2023-05-01,13,612.17
2023-05-01,15,706.35
2023-05-01,15,706.37
2023-05-01,16,847.65
2023-05-01,16,753.36
2023-05-01,17,800.58
2023-05-01,17,800.5
2023-05-01,19,894.67
2023-05-01,19,894.74
2023-05-01,19,894.72
2023-05-01,19,941.91
2023-05-01,19,894.85
2023-05-01,20,941.81
2023-05-01,21,988.83
2023-05-01,21,988.96
2023-05-01,25,1177.4
2023-05-01,31,1554.11
2023-05-01,40,1883.41
2023-05-01,54,2589.66
2023-05-01,61,2919.55
2023-05-01,78,3767.01
2023-06-01,1,47.06
2023-06-01,1,94.11
2023-06-01,1,47.05
2023-06-01,2,94.12
2023-06-01,2,94.11
2023-06-01,2,94.1
2023-06-01,3,141.18
2023-06-01,3,141.17
2023-06-01,3,141.14
2023-06-01,3,235.27
2023-06-01,4,188.22
2023-06-01,5,235.29
2023-06-01,5,235.28
2023-06-01,5,235.24
2023-06-01,5,235.26
2023-06-01,5,235.27
2023-06-01,6,282.36
2023-06-01,6,329.41
2023-06-01,6,282.32
2023-06-01,6,282.34
2023-06-01,6,282.31
2023-06-01,7,329.39
2023-06-01,7,329.42
2023-06-01,7,329.41
2023-06-01,8,376.46
2023-06-01,9,423.49
2023-06-01,10,470.6
2023-06-01,11,517.52
2023-06-01,11,517.54
2023-06-01,12,564.67
2023-06-01,12,564.64
2023-06-01,14,658.75
2023-06-01,14,658.77
2023-06-01,15,752.86
2023-06-01,16,752.86
2023-06-01,16,752.92
2023-06-01,17,799.91
2023-06-01,17,800.02
2023-06-01,18,847.02
2023-06-01,18,846.95
2023-06-01,19,894.04
2023-06-01,20,1035.18
2023-06-01,20,941.11
2023-06-01,20,940.97
2023-06-01,20,941.05
2023-06-01,23,1082.13
2023-06-01,24,1129.41
2023-06-01,26,1223.45
2023-06-01,27,1270.34
2023-06-01,27,1270.49
2023-06-01,28,1317.63
2023-06-01,29,1364.42
2023-06-01,33,1552.71
2023-06-01,39,1882.35
2023-06-01,60,2823.22
2023-06-01,61,2869.94
2023-06-01,117,5598.85
2023-07-01,1,46.85
2023-07-01,1,46.84
2023-07-01,2,93.7
2023-07-01,2,93.69
2023-07-01,2,140.54
2023-07-01,3,140.55
2023-07-01,3,140.56
2023-07-01,3,140.54
2023-07-01,4,187.4
2023-07-01,4,187.37
2023-07-01,4,187.38
2023-07-01,4,187.39
2023-07-01,5,234.25
2023-07-01,5,234.24
2023-07-01,6,281.05
2023-07-01,6,281.09
2023-07-01,6,281.06
2023-07-01,6,281.08
2023-07-01,7,327.94
2023-07-01,7,327.91
2023-07-01,8,655.83
2023-07-01,8,374.8
2023-07-01,8,374.76
2023-07-01,8,374.78
2023-07-01,9,421.63
2023-07-01,9,421.56
2023-07-01,9,421.64
2023-07-01,9,468.42
2023-07-01,10,468.51
2023-07-01,11,515.28
2023-07-01,12,609.05
2023-07-01,12,749.51
2023-07-01,12,562.15
2023-07-01,13,655.85
2023-07-01,14,655.88
2023-07-01,14,655.79
2023-07-01,14,796.36
2023-07-01,15,702.71
2023-07-01,15,702.67
2023-07-01,17,796.43
2023-07-01,17,796.45
2023-07-01,18,843.17
2023-07-01,20,937.01
2023-07-01,20,936.9
2023-07-01,25,1171.17
2023-07-01,26,1218.01
2023-07-01,26,1217.95
2023-07-01,28,1311.83
2023-07-01,30,1405.41
2023-07-01,34,1639.56
2023-07-01,34,1826.89
2023-07-01,35,1639.73
2023-07-01,36,1686.3
2023-07-01,37,1733.09
2023-07-01,46,2154.69
2023-07-01,52,2435.92
2023-07-01,61,2857.28
2023-07-01,78,3673.71
2023-08-01,1,46.84
2023-08-01,1,46.83
2023-08-01,1,93.67
2023-08-01,2,93.68
2023-08-01,3,140.49
2023-08-01,3,140.52
2023-08-01,3,140.5
2023-08-01,3,140.51
2023-08-01,4,187.35
2023-08-01,4,187.37
2023-08-01,4,187.34
2023-08-01,4,187.33
2023-08-01,5,234.18
2023-08-01,6,281.04
2023-08-01,6,281.01
2023-08-01,6,281.0
2023-08-01,6,281.05
2023-08-01,8,374.71
2023-08-01,8,374.66
2023-08-01,8,374.74
2023-08-01,8,374.7
2023-08-01,8,374.72
2023-08-01,9,421.58
2023-08-01,9,421.5
2023-08-01,9,421.55
2023-08-01,9,421.56
2023-08-01,9,421.53
2023-08-01,10,468.39
2023-08-01,11,515.19
2023-08-01,11,515.22
2023-08-01,11,515.14
2023-08-01,12,562.0
2023-08-01,12,562.01
2023-08-01,13,608.84
2023-08-01,13,608.85
2023-08-01,13,608.9
2023-08-01,13,608.91
2023-08-01,15,702.46
2023-08-01,15,749.39
2023-08-01,16,749.38
2023-08-01,16,749.42
2023-08-01,17,796.25
2023-08-01,18,936.68
2023-08-01,19,889.84
2023-08-01,20,983.5
2023-08-01,20,936.76
2023-08-01,21,983.64
2023-08-01,22,1030.42
2023-08-01,23,1077.23
2023-08-01,24,1124.04
2023-08-01,24,1545.51
2023-08-01,24,1124.07
2023-08-01,31,1451.81
2023-08-01,37,1779.84
2023-08-01,38,1779.72
2023-08-01,39,1826.44
2023-08-01,47,2201.26
2023-08-01,47,2248.18
2023-08-01,59,2763.01
2023-08-01,77,3699.8
2023-08-01,78,3652.96
2023-09-01,1,46.77
2023-09-01,1,46.76
2023-09-01,2,93.54
2023-09-01,2,93.53
2023-09-01,2,93.51
2023-09-01,3,140.29
2023-09-01,3,140.3
2023-09-01,3,140.28
2023-09-01,3,140.27
2023-09-01,4,187.08
2023-09-01,4,187.02
2023-09-01,4,187.06
2023-09-01,5,233.84
2023-09-01,5,233.85
2023-09-01,6,280.62
2023-09-01,6,280.55
2023-09-01,6,280.59
2023-09-01,7,327.38
2023-09-01,7,327.35
2023-09-01,7,327.37
2023-09-01,7,327.36
2023-09-01,7,327.39
2023-09-01,8,374.06
2023-09-01,8,374.15
2023-09-01,9,420.85
2023-09-01,9,420.86
2023-09-01,10,467.6
2023-09-01,10,467.65
2023-09-01,11,514.37
2023-09-01,11,514.42
2023-09-01,12,561.16
2023-09-01,12,561.19
2023-09-01,13,607.85
2023-09-01,14,654.75
2023-09-01,14,654.74
2023-09-01,14,654.72
2023-09-01,14,654.67
2023-09-01,15,701.45
2023-09-01,15,701.44
2023-09-01,17,794.93
2023-09-01,17,841.69
2023-09-01,18,1028.74
2023-09-01,18,841.83
2023-09-01,18,888.38
2023-09-01,18,841.76
2023-09-01,19,888.59
2023-09-01,19,888.55
2023-09-01,19,888.52
2023-09-01,19,888.56
2023-09-01,20,935.34
2023-09-01,21,982.03
2023-09-01,23,1075.48
2023-09-01,24,1122.38
2023-09-01,24,1122.41
2023-09-01,30,1402.81
2023-09-01,33,1543.29
2023-09-01,38,2010.98
2023-09-01,39,1823.84
2023-09-01,40,1870.47
2023-09-01,48,2244.73
2023-09-01,66,3132.68
2023-09-01,68,3179.96
2023-09-01,72,3366.45
2023-09-01,75,3507.0
2023-09-01,88,4114.81
2023-10-01,1,46.85
2023-10-01,1,46.84
2023-10-01,1,93.68
2023-10-01,2,93.7
2023-10-01,2,93.69
2023-10-01,3,140.52
2023-10-01,3,140.53
2023-10-01,3,140.55
2023-10-01,4,187.37
2023-10-01,4,281.06
2023-10-01,5,234.24
2023-10-01,5,234.22
2023-10-01,5,234.2
2023-10-01,5,234.21
2023-10-01,5,234.25
2023-10-01,6,281.06
2023-10-01,7,327.85
2023-10-01,7,327.94
2023-10-01,7,327.88
2023-10-01,8,374.8
2023-10-01,8,468.45
2023-10-01,8,374.7
2023-10-01,8,374.75
2023-10-01,8,374.77
2023-10-01,9,421.65
2023-10-01,10,468.44
2023-10-01,10,468.42
2023-10-01,10,468.48
2023-10-01,11,515.22
2023-10-01,12,562.19
2023-10-01,12,562.15
2023-10-01,12,562.18
2023-10-01,12,562.14
2023-10-01,13,608.96
2023-10-01,13,702.62
2023-10-01,14,655.86
2023-10-01,14,655.8
2023-10-01,15,702.65
2023-10-01,16,749.43
2023-10-01,16,749.42
2023-10-01,16,749.48
2023-10-01,16,749.55
2023-10-01,16,749.45
2023-10-01,17,796.27
2023-10-01,17,796.31
2023-10-01,17,796.25
2023-10-01,18,1030.57
2023-10-01,18,843.25
2023-10-01,20,936.86
2023-10-01,21,983.7
2023-10-01,22,1077.41
2023-10-01,24,1124.13
2023-10-01,25,1171.16
2023-10-01,26,1264.65
2023-10-01,26,1217.98
2023-10-01,27,1358.57
2023-10-01,28,1311.67
2023-10-01,29,1358.43
2023-10-01,29,1358.49
2023-10-01,32,1592.63
2023-10-01,33,1545.73
2023-10-01,33,1545.61
2023-10-01,34,1592.73
2023-10-01,35,1733.16
2023-10-01,39,1826.65
2023-10-01,46,2248.39
2023-10-01,47,2201.43
2023-10-01,50,2342.41
2023-10-01,53,2482.43
2023-10-01,56,2623.21
2023-10-01,61,2951.16
2023-10-01,77,3606.61
2023-10-01,89,4168.68
2023-11-01,1,46.98
2023-11-01,1,46.99
2023-11-01,2,93.97
2023-11-01,2,93.98
2023-11-01,3,140.97
2023-11-01,3,140.93
2023-11-01,3,187.94
2023-11-01,3,140.96
2023-11-01,3,140.95
2023-11-01,4,187.92
2023-11-01,4,187.95
2023-11-01,4,187.91
2023-11-01,4,187.94
2023-11-01,5,234.9
2023-11-01,5,234.95
2023-11-01,5,234.93
2023-11-01,6,328.92
2023-11-01,6,281.94
2023-11-01,6,281.88
2023-11-01,6,281.89
2023-11-01,6,281.92
2023-11-01,7,328.86
2023-11-01,7,328.92
2023-11-01,8,375.88
2023-11-01,8,375.84
2023-11-01,8,375.92
2023-11-01,9,422.85
2023-11-01,9,422.84
2023-11-01,9,422.87
2023-11-01,9,422.89
2023-11-01,10,751.74
2023-11-01,10,469.84
2023-11-01,10,469.89
2023-11-01,10,516.86
2023-11-01,11,516.82
2023-11-01,11,516.83
2023-11-01,12,563.77
2023-11-01,12,563.87
2023-11-01,12,563.81
2023-11-01,13,798.75
2023-11-01,13,610.84
2023-11-01,13,610.77
2023-11-01,14,657.82
2023-11-01,15,704.8
2023-11-01,16,751.71
2023-11-01,17,798.73
2023-11-01,18,845.75
2023-11-01,19,892.73
2023-11-01,21,986.7
2023-11-01,21,1080.66
2023-11-01,22,1033.68
2023-11-01,22,1033.66
2023-11-01,23,1080.53
2023-11-01,23,1080.74
2023-11-01,24,1127.54
2023-11-01,25,1174.51
2023-11-01,26,1221.5
2023-11-01,26,1221.55
2023-11-01,28,1409.59
2023-11-01,32,1503.48
2023-11-01,34,1597.36
2023-11-01,36,1691.43
2023-11-01,36,1691.46
2023-11-01,37,1738.43
2023-11-01,39,1832.44
2023-11-01,41,1926.41
2023-11-01,42,1973.32
2023-11-01,48,2255.07
2023-11-01,50,2349.11
2023-11-01,55,2583.93
2023-11-01,60,2819.04
2023-11-01,62,2913.0
2023-11-01,64,3006.68
2023-11-01,78,3664.59
2023-11-01,80,3852.88
2023-11-01,89,4181.35
2023-11-01,90,4322.33
2023-12-01,1,47.02
2023-12-01,1,47.01
2023-12-01,2,94.05
2023-12-01,2,94.04
2023-12-01,2,94.02
2023-12-01,3,141.06
2023-12-01,3,141.07
2023-12-01,3,141.04
2023-12-01,3,141.05
2023-12-01,4,188.08
2023-12-01,4,188.09
2023-12-01,4,188.04
2023-12-01,5,235.11
2023-12-01,5,235.07
2023-12-01,5,235.06
2023-12-01,6,282.08
2023-12-01,6,282.11
2023-12-01,6,282.09
2023-12-01,7,329.08
2023-12-01,7,329.16
2023-12-01,7,329.07
2023-12-01,9,423.19
2023-12-01,10,470.2
2023-12-01,10,470.16
2023-12-01,11,517.14
2023-12-01,11,611.25
2023-12-01,11,517.18
2023-12-01,12,564.23
2023-12-01,12,564.21
2023-12-01,13,611.19
2023-12-01,13,611.24
2023-12-01,13,611.28
2023-12-01,14,658.3
2023-12-01,14,705.23
2023-12-01,15,752.21
2023-12-01,16,752.3
2023-12-01,18,987.3
2023-12-01,18,846.29
2023-12-01,21,987.32
2023-12-01,22,1034.41
2023-12-01,22,1034.45
2023-12-01,25,1222.53
2023-12-01,26,1222.34
2023-12-01,26,1222.49
2023-12-01,26,1222.32
2023-12-01,27,1269.47
2023-12-01,28,1316.35
2023-12-01,30,1598.51
2023-12-01,30,1410.49
2023-12-01,32,1504.43
2023-12-01,32,1504.44
2023-12-01,33,1551.55
2023-12-01,34,1598.52
2023-12-01,35,1645.7
2023-12-01,35,1692.62
2023-12-01,36,1786.54
2023-12-01,38,1786.85
2023-12-01,38,1833.7
2023-12-01,47,2209.74
2023-12-01,53,4432.4
2023-12-01,58,2726.92
2023-12-01,69,3244.03
2023-12-01,72,3385.0
2023-12-01,73,3431.89
2023-12-01,73,3432.15
2023-12-01,79,3713.94
2023-12-01,83,3902.32
2023-12-01,88,4137.08
2023-12-01,93,4372.23
2023-12-01,93,4419.27
2023-12-01,109,5171.95
2023-12-01,146,6864.07
2024-01-01,1,47.15
2024-01-01,1,47.13
2024-01-01,2,94.3
2024-01-01,2,94.28
2024-01-01,3,141.43
2024-01-01,3,141.45
2024-01-01,3,141.42
2024-01-01,3,141.4
2024-01-01,4,188.59
2024-01-01,5,235.69
2024-01-01,6,282.85
2024-01-01,6,282.87
2024-01-01,6,282.82
2024-01-01,7,329.93
2024-01-01,7,329.94
2024-01-01,7,329.97
2024-01-01,8,377.18
2024-01-01,8,377.16
2024-01-01,8,377.13
2024-01-01,9,424.23
2024-01-01,9,424.21
2024-01-01,10,471.43
2024-01-01,11,518.61
2024-01-01,12,565.61
2024-01-01,12,565.67
2024-01-01,12,565.63
2024-01-01,12,565.77
2024-01-01,12,565.71
2024-01-01,13,612.82
2024-01-01,13,612.89
2024-01-01,14,659.98
2024-01-01,14,659.97
2024-01-01,15,707.16
2024-01-01,15,707.09
2024-01-01,16,754.26
2024-01-01,19,895.55
2024-01-01,19,895.69
2024-01-01,19,895.76
2024-01-01,20,942.73
2024-01-01,20,942.76
2024-01-01,21,1084.25
2024-01-01,21,989.89
2024-01-01,22,1037.0
2024-01-01,22,1131.44
2024-01-01,22,1037.14
2024-01-01,24,1131.36
2024-01-01,24,1225.54
2024-01-01,24,1131.53
2024-01-01,26,1225.59
2024-01-01,27,1272.89
2024-01-01,28,1319.95
2024-01-01,29,1367.13
2024-01-01,30,1414.35
2024-01-01,32,1602.56
2024-01-01,35,1649.89
